PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
27,3,"Emir, Mr. Farred Chehab",1,,0,0,2631,7.225,G,C,0
28,1,"Fortune, Mr. Charles Alexander",1,19,3,2,19950,263,C,S,0
29,3,"O'Dwyer, Miss. Ellen ""Nellie""",0,,0,0,330959,7.8792,G,Q,1
30,3,"Todoroff, Mr. Lalio",1,,0,0,349216,7.8958,G,S,0
31,1,"Uruchurtu, Don. Manuel E",1,40,0,0,PC 17601,27.7208,T,C,0
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,,1,0,PC 17569,146.5208,B,C,1
33,3,"Glynn, Miss. Mary Agatha",0,,0,0,335677,7.75,G,Q,1
34,2,"Wheadon, Mr. Edward H",1,66,0,0,C.A. 24579,10.5,G,S,0
35,1,"Meyer, Mr. Edgar Joseph",1,28,1,0,PC 17604,82.1708,C,C,0
36,1,"Holverson, Mr. Alexander Oskar",1,42,1,0,113789,52,E,S,0
37,3,"Mamee, Mr. Hanna",1,,0,0,2677,7.2292,G,C,1
38,3,"Cann, Mr. Ernest Charles",1,21,0,0,A./5. 2152,8.05,G,S,0
39,3,"Vander Planke, Miss. Augusta Maria",0,18,2,0,345764,18,F,S,0
40,3,"Nicola-Yarred, Miss. Jamila",0,14,1,0,2651,11.2417,G,C,1
41,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,40,1,0,7546,9.475,G,S,0
42,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,27,1,0,11668,21,F,S,0
43,3,"Kraeff, Mr. Theodor",1,,0,0,349253,7.8958,G,C,0
44,2,"Laroche, Miss. Simonne Marie Anne Andree",0,3,1,2,SC/Paris 2123,41.5792,A,C,1
45,3,"Devaney, Miss. Margaret Delia",0,19,0,0,330958,7.8792,G,Q,1
46,3,"Rogers, Mr. William John",1,,0,0,S.C./A.4. 23567,8.05,G,S,0
47,3,"Lennon, Mr. Denis",1,,1,0,370371,15.5,G,Q,0
48,3,"O'Driscoll, Miss. Bridget",0,,0,0,14311,7.75,G,Q,1
49,3,"Samaan, Mr. Youssef",1,,2,0,2662,21.6792,F,C,0
50,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,18,1,0,349237,17.8,F,S,0
51,3,"Panula, Master. Juha Niilo",1,7,4,1,3101295,39.6875,A,S,0
52,3,"Nosworthy, Mr. Richard Cater",1,21,0,0,A/4. 39886,7.8,G,S,0
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,49,1,0,PC 17572,76.7292,D,C,1
54,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,29,1,0,2926,26,F,S,1
55,1,"Ostby, Mr. Engelhart Cornelius",1,65,0,1,113509,61.9792,B,C,0
56,1,"Woolner, Mr. Hugh",1,,0,0,19947,35.5,C,S,1
57,2,"Rugg, Miss. Emily",0,21,0,0,C.A. 31026,10.5,G,S,1
58,3,"Novel, Mr. Mansouer",1,28.5,0,0,2697,7.2292,G,C,0
59,2,"West, Miss. Constance Mirium",0,5,1,2,C.A. 34651,27.75,T,S,1
60,3,"Goodwin, Master. William Frederick",1,11,5,2,CA 2144,46.9,A,S,0
61,3,"Sirayanian, Mr. Orsen",1,22,0,0,2669,7.2292,G,C,0
62,1,"Icard, Miss. Amelie",0,38,0,0,113572,80,B,C,1
63,1,"Harris, Mr. Henry Birkhardt",1,45,1,0,36973,83.475,C,S,0
64,3,"Skoog, Master. Harald",1,4,3,2,347088,27.9,T,S,0
65,1,"Stewart, Mr. Albert A",1,,0,0,PC 17605,27.7208,T,C,0
66,3,"Moubarek, Master. Gerios",1,,1,1,2661,15.2458,G,C,1
67,2,"Nye, Mrs. (Elizabeth Ramell)",0,29,0,0,C.A. 29395,10.5,F,S,1
68,3,"Crease, Mr. Ernest James",1,19,0,0,S.P. 3464,8.1583,G,S,0
69,3,"Andersson, Miss. Erna Alexandra",0,17,4,2,3101281,7.925,G,S,1
70,3,"Kink, Mr. Vincenz",1,26,2,0,315151,8.6625,G,S,0
71,2,"Jenkin, Mr. Stephen Curnow",1,32,0,0,C.A. 33111,10.5,G,S,0
72,3,"Goodwin, Miss. Lillian Amy",0,16,5,2,CA 2144,46.9,A,S,0
73,2,"Hood, Mr. Ambrose Jr",1,21,0,0,S.O.C. 14879,73.5,C,S,0
74,3,"Chronopoulos, Mr. Apostolos",1,26,1,0,2680,14.4542,G,C,0
75,3,"Bing, Mr. Lee",1,32,0,0,1601,56.4958,C,S,1
76,3,"Moen, Mr. Sigurd Hansen",1,25,0,0,348123,7.65,F,S,0
77,3,"Staneff, Mr. Ivan",1,,0,0,349208,7.8958,G,S,0
78,3,"Moutal, Mr. Rahamin Haim",1,,0,0,374746,8.05,G,S,0
79,2,"Caldwell, Master. Alden Gates",1,0.83,0,2,248738,29,T,S,1
80,3,"Dowdell, Miss. Elizabeth",0,30,0,0,364516,12.475,G,S,1
81,3,"Waelens, Mr. Achille",1,22,0,0,345767,9,G,S,0
82,3,"Sheerlinck, Mr. Jan Baptist",1,29,0,0,345779,9.5,G,S,1
83,3,"McDermott, Miss. Brigdet Delia",0,,0,0,330932,7.7875,G,Q,1
84,1,"Carrau, Mr. Francisco M",1,28,0,0,113059,47.1,E,S,0
85,2,"Ilett, Miss. Bertha",0,17,0,0,SO/C 14885,10.5,G,S,1
86,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0,33,3,0,3101278,15.85,G,S,1
87,3,"Ford, Mr. William Neal",1,16,1,3,W./C. 6608,34.375,T,S,0
88,3,"Slocovski, Mr. Selman Francis",1,,0,0,SOTON/OQ 392086,8.05,G,S,0
89,1,"Fortune, Miss. Mabel Helen",0,23,3,2,19950,263,C,S,1
90,3,"Celotti, Mr. Francesco",1,24,0,0,343275,8.05,G,S,0
91,3,"Christmann, Mr. Emil",1,29,0,0,343276,8.05,G,S,0
92,3,"Andreasson, Mr. Paul Edvin",1,20,0,0,347466,7.8542,G,S,0
93,1,"Chaffee, Mr. Herbert Fuller",1,46,1,0,W.E.P. 5734,61.175,E,S,0
94,3,"Dean, Mr. Bertram Frank",1,26,1,2,C.A. 2315,20.575,F,S,0
95,3,"Coxon, Mr. Daniel",1,59,0,0,364500,7.25,G,S,0
96,3,"Shorney, Mr. Charles Joseph",1,,0,0,374910,8.05,G,S,0
97,1,"Goldschmidt, Mr. George B",1,71,0,0,PC 17754,34.6542,A,C,0
98,1,"Greenfield, Mr. William Bertram",1,23,0,1,PC 17759,63.3583,D,C,1
99,2,"Doling, Mrs. John T (Ada Julia Bone)",0,34,0,1,231919,23,F,S,1
100,2,"Kantor, Mr. Sinai",1,34,1,0,244367,26,F,S,0
101,3,"Petranec, Miss. Matilda",0,28,0,0,349245,7.8958,G,S,0
102,3,"Petroff, Mr. Pastcho (""Pentcho"")",1,,0,0,349215,7.8958,G,S,0
103,1,"White, Mr. Richard Frasar",1,21,0,1,35281,77.2875,D,S,0
104,3,"Johansson, Mr. Gustaf Joel",1,33,0,0,7540,8.6542,G,S,0
105,3,"Gustafsson, Mr. Anders Vilhelm",1,37,2,0,3101276,7.925,G,S,0
106,3,"Mionoff, Mr. Stoytcho",1,28,0,0,349207,7.8958,G,S,0
107,3,"Salkjelsvik, Miss. Anna Kristine",0,21,0,0,343120,7.65,G,S,1
108,3,"Moss, Mr. Albert Johan",1,,0,0,312991,7.775,G,S,1
109,3,"Rekic, Mr. Tido",1,38,0,0,349249,7.8958,G,S,0
110,3,"Moran, Miss. Bertha",0,,1,0,371110,24.15,F,Q,1
111,1,"Porter, Mr. Walter Chamberlain",1,47,0,0,110465,52,C,S,0
112,3,"Zabour, Miss. Hileni",0,14.5,1,0,2665,14.4542,G,C,0
113,3,"Barton, Mr. David John",1,22,0,0,324669,8.05,G,S,0
114,3,"Jussila, Miss. Katriina",0,20,1,0,4136,9.825,G,S,0
115,3,"Attalah, Miss. Malake",0,17,0,0,2627,14.4583,G,C,0
116,3,"Pekoniemi, Mr. Edvard",1,21,0,0,STON/O 2. 3101294,7.925,G,S,0
117,3,"Connors, Mr. Patrick",1,70.5,0,0,370369,7.75,G,Q,0
118,2,"Turpin, Mr. William John Robert",1,29,1,0,11668,21,F,S,0
119,1,"Baxter, Mr. Quigg Edmond",1,24,0,1,PC 17558,247.5208,B,C,0
120,3,"Andersson, Miss. Ellis Anna Maria",0,2,4,2,347082,31.275,T,S,0
121,2,"Hickman, Mr. Stanley George",1,21,2,0,S.O.C. 14879,73.5,C,S,0
122,3,"Moore, Mr. Leonard Charles",1,,0,0,A4. 54510,8.05,G,S,0
123,2,"Nasser, Mr. Nicholas",1,32.5,1,0,237736,30.0708,T,C,0
124,2,"Webber, Miss. Susan",0,32.5,0,0,27267,13,E,S,1
125,1,"White, Mr. Percival Wayland",1,54,0,1,35281,77.2875,D,S,0
126,3,"Nicola-Yarred, Master. Elias",1,12,1,0,2651,11.2417,G,C,1
127,3,"McMahon, Mr. Martin",1,,0,0,370372,7.75,G,Q,0
128,3,"Madsen, Mr. Fridtjof Arne",1,24,0,0,C 17369,7.1417,G,S,1
129,3,"Peter, Miss. Anna",0,,1,1,2668,22.3583,F,C,1
130,3,"Ekstrom, Mr. Johan",1,45,0,0,347061,6.975,G,S,0
131,3,"Drazenoic, Mr. Jozef",1,33,0,0,349241,7.8958,G,C,0
132,3,"Coelho, Mr. Domingos Fernandeo",1,20,0,0,SOTON/O.Q. 3101307,7.05,G,S,0
133,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",0,47,1,0,A/5. 3337,14.5,G,S,0
134,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",0,29,1,0,228414,26,F,S,1
135,2,"Sobey, Mr. Samuel James Hayden",1,25,0,0,C.A. 29178,13,G,S,0
136,2,"Richard, Mr. Emile",1,23,0,0,SC/PARIS 2133,15.0458,G,C,0
137,1,"Newsom, Miss. Helen Monypeny",0,19,0,2,11752,26.2833,D,S,1
138,1,"Futrelle, Mr. Jacques Heath",1,37,1,0,113803,53.1,C,S,0
139,3,"Osen, Mr. Olaf Elon",1,16,0,0,7534,9.2167,G,S,0
140,1,"Giglio, Mr. Victor",1,24,0,0,PC 17593,79.2,B,C,0
141,3,"Boulos, Mrs. Joseph (Sultana)",0,,0,2,2678,15.2458,G,C,0
142,3,"Nysten, Miss. Anna Sofia",0,22,0,0,347081,7.75,G,S,1
143,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",0,24,1,0,STON/O2. 3101279,15.85,G,S,1
144,3,"Burke, Mr. Jeremiah",1,19,0,0,365222,6.75,G,Q,0
145,2,"Andrew, Mr. Edgardo Samuel",1,18,0,0,231945,11.5,G,S,0
146,2,"Nicholls, Mr. Joseph Charles",1,19,1,1,C.A. 33112,36.75,T,S,0
147,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",1,27,0,0,350043,7.7958,G,S,1
148,3,"Ford, Miss. Robina Maggie ""Ruby""",0,9,2,2,W./C. 6608,34.375,T,S,0
149,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",1,36.5,0,2,230080,26,F,S,0
150,2,"Byles, Rev. Thomas Roussel Davids",1,42,0,0,244310,13,G,S,0
151,2,"Bateman, Rev. Robert James",1,51,0,0,S.O.P. 1166,12.525,G,S,0
152,1,"Pears, Mrs. Thomas (Edith Wearne)",0,22,1,0,113776,66.6,C,S,1
153,3,"Meo, Mr. Alfonzo",1,55.5,0,0,A.5. 11206,8.05,G,S,0
154,3,"van Billiard, Mr. Austin Blyler",1,40.5,0,2,A/5. 851,14.5,G,S,0
155,3,"Olsen, Mr. Ole Martin",1,,0,0,Fa 265302,7.3125,G,S,0
156,1,"Williams, Mr. Charles Duane",1,51,0,1,PC 17597,61.3792,C,C,0
157,3,"Gilnagh, Miss. Katherine ""Katie""",0,16,0,0,35851,7.7333,G,Q,1
158,3,"Corn, Mr. Harry",1,30,0,0,SOTON/OQ 392090,8.05,G,S,0
159,3,"Smiljanic, Mr. Mile",1,,0,0,315037,8.6625,G,S,0
160,3,"Sage, Master. Thomas Henry",1,,8,2,CA. 2343,69.55,C,S,0
161,3,"Cribb, Mr. John Hatfield",1,44,0,1,371362,16.1,F,S,0
162,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0,40,0,0,C.A. 33595,15.75,G,S,1
163,3,"Bengtsson, Mr. John Viktor",1,26,0,0,347068,7.775,G,S,0
164,3,"Calic, Mr. Jovo",1,17,0,0,315093,8.6625,G,S,0
165,3,"Panula, Master. Eino Viljami",1,1,4,1,3101295,39.6875,A,S,0
166,3,"Goldsmith, Master. Frank John William ""Frankie""",1,9,0,2,363291,20.525,F,S,1
167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",0,,0,1,113505,55,E,S,1
168,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0,45,1,4,347088,27.9,T,S,0
169,1,"Baumann, Mr. John D",1,,0,0,PC 17318,25.925,F,S,0
170,3,"Ling, Mr. Lee",1,28,0,0,1601,56.4958,C,S,0
171,1,"Van der hoef, Mr. Wyckoff",1,61,0,0,111240,33.5,B,S,0
172,3,"Rice, Master. Arthur",1,4,4,1,382652,29.125,T,Q,0
173,3,"Johnson, Miss. Eleanor Ileen",0,1,1,1,347742,11.1333,G,S,1
174,3,"Sivola, Mr. Antti Wilhelm",1,21,0,0,STON/O 2. 3101280,7.925,G,S,0
175,1,"Smith, Mr. James Clinch",1,56,0,0,17764,30.6958,A,C,0
176,3,"Klasen, Mr. Klas Albin",1,18,1,1,350404,7.8542,G,S,0
177,3,"Lefebre, Master. Henry Forbes",1,,3,1,4133,25.4667,F,S,0
178,1,"Isham, Miss. Ann Elizabeth",0,50,0,0,PC 17595,28.7125,C,C,0
179,2,"Hale, Mr. Reginald",1,30,0,0,250653,13,G,S,0
180,3,"Leonard, Mr. Lionel",1,36,0,0,LINE,0,G,S,0
181,3,"Sage, Miss. Constance Gladys",0,,8,2,CA. 2343,69.55,C,S,0
182,2,"Pernot, Mr. Rene",1,,0,0,SC/PARIS 2131,15.05,G,C,0
183,3,"Asplund, Master. Clarence Gustaf Hugo",1,9,4,2,347077,31.3875,T,S,0
184,2,"Becker, Master. Richard F",1,1,2,1,230136,39,F,S,1
185,3,"Kink-Heilmann, Miss. Luise Gretchen",0,4,0,2,315153,22.025,F,S,1
186,1,"Rood, Mr. Hugh Roscoe",1,,0,0,113767,50,A,S,0
187,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",0,,1,0,370365,15.5,G,Q,1
188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,45,0,0,111428,26.55,F,S,1
189,3,"Bourke, Mr. John",1,40,1,1,364849,15.5,G,Q,0
190,3,"Turcin, Mr. Stjepan",1,36,0,0,349247,7.8958,G,S,0
191,2,"Pinsky, Mrs. (Rosa)",0,32,0,0,234604,13,G,S,1
192,2,"Carbines, Mr. William",1,19,0,0,28424,13,G,S,0
193,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",0,19,1,0,350046,7.8542,G,S,1
194,2,"Navratil, Master. Michel M",1,3,1,1,230080,26,F,S,1
195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",0,44,0,0,PC 17610,27.7208,B,C,1
196,1,"Lurette, Miss. Elise",0,58,0,0,PC 17569,146.5208,B,C,1
197,3,"Mernagh, Mr. Robert",1,,0,0,368703,7.75,G,Q,0
198,3,"Olsen, Mr. Karl Siegwart Andreas",1,42,0,1,4579,8.4042,G,S,0
199,3,"Madigan, Miss. Margaret ""Maggie""",0,,0,0,370370,7.75,G,Q,1
200,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",0,24,0,0,248747,13,G,S,0
201,3,"Vande Walle, Mr. Nestor Cyriel",1,28,0,0,345770,9.5,G,S,0
202,3,"Sage, Mr. Frederick",1,,8,2,CA. 2343,69.55,C,S,0
203,3,"Johanson, Mr. Jakob Alfred",1,34,0,0,3101264,6.4958,G,S,0
204,3,"Youseff, Mr. Gerious",1,45.5,0,0,2628,7.225,G,C,0
205,3,"Cohen, Mr. Gurshon ""Gus""",1,18,0,0,A/5 3540,8.05,G,S,1
206,3,"Strom, Miss. Telma Matilda",0,2,0,1,347054,10.4625,G,S,0
207,3,"Backstrom, Mr. Karl Alfred",1,32,1,0,3101278,15.85,G,S,0
208,3,"Albimona, Mr. Nassef Cassem",1,26,0,0,2699,18.7875,F,C,1
209,3,"Carr, Miss. Helen ""Ellen""",0,16,0,0,367231,7.75,G,Q,1
210,1,"Blank, Mr. Henry",1,40,0,0,112277,31,A,C,1
211,3,"Ali, Mr. Ahmed",1,24,0,0,SOTON/O.Q. 3101311,7.05,G,S,0
212,2,"Cameron, Miss. Clear Annie",0,35,0,0,F.C.C. 13528,21,F,S,1
213,3,"Perkin, Mr. John Henry",1,22,0,0,A/5 21174,7.25,G,S,0
214,2,"Givard, Mr. Hans Kristensen",1,30,0,0,250646,13,G,S,0
215,3,"Kiernan, Mr. Philip",1,,1,0,367229,7.75,G,Q,0
216,1,"Newell, Miss. Madeleine",0,31,1,0,35273,113.275,D,C,1
217,3,"Honkanen, Miss. Eliina",0,27,0,0,STON/O2. 3101283,7.925,G,S,1
218,2,"Jacobsohn, Mr. Sidney Samuel",1,42,1,0,243847,27,T,S,0
219,1,"Bazzani, Miss. Albina",0,32,0,0,11813,76.2917,D,C,1
220,2,"Harris, Mr. Walter",1,30,0,0,W/C 14208,10.5,G,S,0
221,3,"Sunderland, Mr. Victor Francis",1,16,0,0,SOTON/OQ 392089,8.05,G,S,1
222,2,"Bracken, Mr. James H",1,27,0,0,220367,13,G,S,0
223,3,"Green, Mr. George Henry",1,51,0,0,21440,8.05,G,S,0
224,3,"Nenkoff, Mr. Christo",1,,0,0,349234,7.8958,G,S,0
225,1,"Hoyt, Mr. Frederick Maxfield",1,38,1,0,19943,90,C,S,1
226,3,"Berglund, Mr. Karl Ivar Sven",1,22,0,0,PP 4348,9.35,G,S,0
227,2,"Mellors, Mr. William John",1,19,0,0,SW/PP 751,10.5,G,S,1
228,3,"Lovell, Mr. John Hall (""Henry"")",1,20.5,0,0,A/5 21173,7.25,G,S,0
229,2,"Fahlstrom, Mr. Arne Jonas",1,18,0,0,236171,13,G,S,0
230,3,"Lefebre, Miss. Mathilde",0,,3,1,4133,25.4667,F,S,0
231,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",0,35,1,0,36973,83.475,C,S,1
232,3,"Larsson, Mr. Bengt Edvin",1,29,0,0,347067,7.775,G,S,0
233,2,"Sjostedt, Mr. Ernst Adolf",1,59,0,0,237442,13.5,G,S,0
234,3,"Asplund, Miss. Lillian Gertrud",0,5,4,2,347077,31.3875,T,S,1
235,2,"Leyson, Mr. Robert William Norman",1,24,0,0,C.A. 29566,10.5,G,S,0
236,3,"Harknett, Miss. Alice Phoebe",0,,0,0,W./C. 6609,7.55,G,S,0
237,2,"Hold, Mr. Stephen",1,44,1,0,26707,26,F,S,0
238,2,"Collyer, Miss. Marjorie ""Lottie""",0,8,0,2,C.A. 31921,26.25,F,S,1
239,2,"Pengelly, Mr. Frederick William",1,19,0,0,28665,10.5,G,S,0
240,2,"Hunt, Mr. George Henry",1,33,0,0,SCO/W 1585,12.275,G,S,0
241,3,"Zabour, Miss. Thamine",0,,1,0,2665,14.4542,G,C,0
242,3,"Murphy, Miss. Katherine ""Kate""",0,,1,0,367230,15.5,G,Q,1
243,2,"Coleridge, Mr. Reginald Charles",1,29,0,0,W./C. 14263,10.5,G,S,0
244,3,"Maenpaa, Mr. Matti Alexanteri",1,22,0,0,STON/O 2. 3101275,7.125,G,S,0
245,3,"Attalah, Mr. Sleiman",1,30,0,0,2694,7.225,G,C,0
246,1,"Minahan, Dr. William Edward",1,44,2,0,19928,90,C,Q,0
247,3,"Lindahl, Miss. Agda Thorilda Viktoria",0,25,0,0,347071,7.775,G,S,0
248,2,"Hamalainen, Mrs. William (Anna)",0,24,0,2,250649,14.5,G,S,1
249,1,"Beckwith, Mr. Richard Leonard",1,37,1,1,11751,52.5542,D,S,1
250,2,"Carter, Rev. Ernest Courtenay",1,54,1,0,244252,26,F,S,0
251,3,"Reed, Mr. James George",1,,0,0,362316,7.25,G,S,0
252,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",0,29,1,1,347054,10.4625,G,S,0
253,1,"Stead, Mr. William Thomas",1,62,0,0,113514,26.55,C,S,0
254,3,"Lobb, Mr. William Arthur",1,30,1,0,A/5. 3336,16.1,F,S,0
255,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,41,0,2,370129,20.2125,F,S,0
256,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",0,29,0,2,2650,15.2458,G,C,1
257,1,"Thorne, Mrs. Gertrude Maybelle",0,,0,0,PC 17585,79.2,C,C,1
258,1,"Cherry, Miss. Gladys",0,30,0,0,110152,86.5,B,S,1
259,1,"Ward, Miss. Anna",0,35,0,0,PC 17755,512.3292,B,C,1
260,2,"Parrish, Mrs. (Lutie Davis)",0,50,0,1,230433,26,F,S,1
261,3,"Smith, Mr. Thomas",1,,0,0,384461,7.75,G,Q,0
262,3,"Asplund, Master. Edvin Rojj Felix",1,3,4,2,347077,31.3875,T,S,1
263,1,"Taussig, Mr. Emil",1,52,1,1,110413,79.65,E,S,0
264,1,"Harrison, Mr. William",1,40,0,0,112059,0,B,S,0
265,3,"Henry, Miss. Delia",0,,0,0,382649,7.75,G,Q,0
266,2,"Reeves, Mr. David",1,36,0,0,C.A. 17248,10.5,G,S,0
267,3,"Panula, Mr. Ernesti Arvid",1,16,4,1,3101295,39.6875,A,S,0
268,3,"Persson, Mr. Ernst Ulrik",1,25,1,0,347083,7.775,G,S,1
269,1,"Graham, Mrs. William Thompson (Edith Junkins)",0,58,0,1,PC 17582,153.4625,C,S,1
270,1,"Bissette, Miss. Amelia",0,35,0,0,PC 17760,135.6333,C,S,1
271,1,"Cairns, Mr. Alexander",1,,0,0,113798,31,T,S,0
272,3,"Tornquist, Mr. William Henry",1,25,0,0,LINE,0,G,S,1
273,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",0,41,0,1,250644,19.5,F,S,1
274,1,"Natsch, Mr. Charles H",1,37,0,1,PC 17596,29.7,C,C,0
275,3,"Healy, Miss. Hanora ""Nora""",0,,0,0,370375,7.75,G,Q,1
276,1,"Andrews, Miss. Kornelia Theodosia",0,63,1,0,13502,77.9583,D,S,1
277,3,"Lindblom, Miss. Augusta Charlotta",0,45,0,0,347073,7.75,G,S,0
278,2,"Parkes, Mr. Francis ""Frank""",1,,0,0,239853,0,G,S,0
279,3,"Rice, Master. Eric",1,7,4,1,382652,29.125,T,Q,0
280,3,"Abbott, Mrs. Stanton (Rosa Hunt)",0,35,1,1,C.A. 2673,20.25,F,S,1
281,3,"Duane, Mr. Frank",1,65,0,0,336439,7.75,G,Q,0
282,3,"Olsson, Mr. Nils Johan Goransson",1,28,0,0,347464,7.8542,G,S,0
283,3,"de Pelsmaeker, Mr. Alfons",1,16,0,0,345778,9.5,G,S,0
284,3,"Dorking, Mr. Edward Arthur",1,19,0,0,A/5. 10482,8.05,G,S,1
285,1,"Smith, Mr. Richard William",1,,0,0,113056,26,A,S,0
286,3,"Stankovic, Mr. Ivan",1,33,0,0,349239,8.6625,G,C,0
287,3,"de Mulder, Mr. Theodore",1,30,0,0,345774,9.5,G,S,1
288,3,"Naidenoff, Mr. Penko",1,22,0,0,349206,7.8958,G,S,0
289,2,"Hosono, Mr. Masabumi",1,42,0,0,237798,13,G,S,1
290,3,"Connolly, Miss. Kate",0,22,0,0,370373,7.75,G,Q,1
291,1,"Barber, Miss. Ellen ""Nellie""",0,26,0,0,19877,78.85,C,S,1
292,1,"Bishop, Mrs. Dickinson H (Helen Walton)",0,19,1,0,11967,91.0792,B,C,1
293,2,"Levy, Mr. Rene Jacques",1,36,0,0,SC/Paris 2163,12.875,D,C,0
294,3,"Haas, Miss. Aloisia",0,24,0,0,349236,8.85,G,S,0
295,3,"Mineff, Mr. Ivan",1,24,0,0,349233,7.8958,G,S,0
296,1,"Lewy, Mr. Ervin G",1,,0,0,PC 17612,27.7208,T,C,0
297,3,"Hanna, Mr. Mansour",1,23.5,0,0,2693,7.2292,G,C,0
298,1,"Allison, Miss. Helen Loraine",0,2,1,2,113781,151.55,C,S,0
299,1,"Saalfeld, Mr. Adolphe",1,,0,0,19988,30.5,C,S,1
300,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",0,50,0,1,PC 17558,247.5208,B,C,1
301,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",0,,0,0,9234,7.75,G,Q,1
302,3,"McCoy, Mr. Bernard",1,,2,0,367226,23.25,F,Q,1
303,3,"Johnson, Mr. William Cahoone Jr",1,19,0,0,LINE,0,G,S,0
304,2,"Keane, Miss. Nora A",0,,0,0,226593,12.35,E,Q,1
305,3,"Williams, Mr. Howard Hugh ""Harry""",1,,0,0,A/5 2466,8.05,G,S,0
306,1,"Allison, Master. Hudson Trevor",1,0.92,1,2,113781,151.55,C,S,1
307,1,"Fleming, Miss. Margaret",0,,0,0,17421,110.8833,C,C,1
